タスク名,順番,秒数,読み上げテキスト,項目名
スクワット,9,7,9回目。きれいな動き！,1set-9rep
スクワット,10,7,10回目。リズムよくいこう！,1set-10rep
スクワット,11,7,11回目。そのまま、続けて！,1set-11rep
スクワット,12,7,12回目。力強い動きだ！,1set-12rep
スクワット,13,7,13回目。もう少しで終わり！,1set-13rep
スクワット,14,7,14回目。全集中！,1set-14rep
スクワット,15,7,15回目。ラスト1回！,1set-15rep
スクワット,16,100,胸を張って、膝はつま先より前に出さずに。かかとで踏み込んで。,スクワットの1回目の休憩
スクワット,17,7,1回目。いいぞ、その調子！,2set-1rep
スクワット,18,7,2回目。ナイスフォーム！,2set-2rep
スクワット,19,7,3回目。あと少し、頑張れ！,2set-3rep
スクワット,20,7,4回目。素晴らしい集中力！,2set-4rep
スクワット,21,7,5回目。よくできてる！,2set-5rep
スクワット,22,7,6回目。そのままキープ！,2set-6rep
スクワット,23,7,7回目。あと半分！,2set-7rep
スクワット,24,7,8回目。しっかり動かそう！,2set-8rep
スクワット,25,7,9回目。きれいな動き！,2set-9rep
スクワット,26,7,10回目。リズムよくいこう！,2set-10rep
スクワット,27,7,11回目。そのまま、続けて！,2set-11rep
スクワット,28,7,12回目。力強い動きだ！,2set-12rep
スクワット,29,7,13回目。もう少しで終わり！,2set-13rep
スクワット,30,7,14回目。全集中！,2set-14rep
スクワット,31,7,15回目。ラスト1回！,2set-15rep
スクワット,32,100,胸を張って、膝はつま先より前に出さずに。かかとで踏み込んで。,スクワットの2回目の休憩
スクワット,33,7,1回目。いいぞ、その調子！,3set-1rep
スクワット,34,7,2回目。ナイスフォーム！,3set-2rep
スクワット,35,7,3回目。あと少し、頑張れ！,3set-3rep
スクワット,36,7,4回目。素晴らしい集中力！,3set-4rep
スクワット,37,7,5回目。よくできてる！,3set-5rep
スクワット,38,7,6回目。そのままキープ！,3set-6rep
スクワット,39,7,7回目。あと半分！,3set-7rep
スクワット,40,7,8回目。しっかり動かそう！,3set-8rep
スクワット,41,7,9回目。きれいな動き！,3set-9rep
スクワット,42,7,10回目。リズムよくいこう！,3set-10rep
スクワット,43,7,11回目。そのまま、続けて！,3set-11rep
スクワット,44,7,12回目。力強い動きだ！,3set-12rep
スクワット,45,7,13回目。もう少しで終わり！,3set-13rep
スクワット,46,7,14回目。全集中！,3set-14rep
スクワット,47,7,15回目。ラスト1回！,3set-15rep
シーテッドロー,1,7,1回目。いいぞ、その調子！,1set-1rep
シーテッドロー,2,7,2回目。ナイスフォーム！,1set-2rep
シーテッドロー,3,7,3回目。あと少し、頑張れ！,1set-3rep
シーテッドロー,4,7,4回目。素晴らしい集中力！,1set-4rep
シーテッドロー,5,7,5回目。よくできてる！,1set-5rep
シーテッドロー,6,7,6回目。そのままキープ！,1set-6rep
シーテッドロー,7,7,7回目。あと半分！,1set-7rep
シーテッドロー,8,7,8回目。しっかり動かそう！,1set-8rep
シーテッドロー,9,7,9回目。きれいな動き！,1set-9rep
シーテッドロー,10,7,10回目。リズムよくいこう！,1set-10rep
シーテッドロー,11,7,11回目。そのまま、続けて！,1set-11rep
シーテッドロー,12,7,12回目。力強い動きだ！,1set-12rep
シーテッドロー,13,7,13回目。もう少しで終わり！,1set-13rep
シーテッドロー,14,7,14回目。全集中！,1set-14rep
シーテッドロー,15,7,15回目。ラスト1回！,1set-15rep
シーテッドロー,16,100,背筋を伸ばして、肘をしっかり後ろへ引いて。反動は使わないように。,シーテッドローの1回目の休憩
シーテッドロー,17,7,1回目。いいぞ、その調子！,2set-1rep
シーテッドロー,18,7,2回目。ナイスフォーム！,2set-2rep
シーテッドロー,19,7,3回目。あと少し、頑張れ！,2set-3rep
シーテッドロー,20,7,4回目。素晴らしい集中力！,2set-4rep
シーテッドロー,21,7,5回目。よくできてる！,2set-5rep
シーテッドロー,22,7,6回目。そのままキープ！,2set-6rep
シーテッドロー,23,7,7回目。あと半分！,2set-7rep
シーテッドロー,24,7,8回目。しっかり動かそう！,2set-8rep
シーテッドロー,25,7,9回目。きれいな動き！,2set-9rep
シーテッドロー,26,7,10回目。リズムよくいこう！,2set-10rep
シーテッドロー,27,7,11回目。そのまま、続けて！,2set-11rep
シーテッドロー,28,7,12回目。力強い動きだ！,2set-12rep
シーテッドロー,29,7,13回目。もう少しで終わり！,2set-13rep
シーテッドロー,30,7,14回目。全集中！,2set-14rep
シーテッドロー,31,7,15回目。ラスト1回！,2set-15rep
シーテッドロー,32,100,背筋を伸ばして、肘をしっかり後ろへ引いて。反動は使わないように。,シーテッドローの2回目の休憩
シーテッドロー,33,7,1回目。いいぞ、その調子！,3set-1rep
シーテッドロー,34,7,2回目。ナイスフォーム！,3set-2rep
シーテッドロー,35,7,3回目。あと少し、頑張れ！,3set-3rep
シーテッドロー,36,7,4回目。素晴らしい集中力！,3set-4rep
シーテッドロー,37,7,5回目。よくできてる！,3set-5rep
シーテッドロー,38,7,6回目。そのままキープ！,3set-6rep
シーテッドロー,39,7,7回目。あと半分！,3set-7rep
シーテッドロー,40,7,8回目。しっかり動かそう！,3set-8rep
シーテッドロー,41,7,9回目。きれいな動き！,3set-9rep
シーテッドロー,42,7,10回目。リズムよくいこう！,3set-10rep
シーテッドロー,43,7,11回目。そのまま、続けて！,3set-11rep
シーテッドロー,44,7,12回目。力強い動きだ！,3set-12rep
シーテッドロー,45,7,13回目。もう少しで終わり！,3set-13rep
シーテッドロー,46,7,14回目。全集中！,3set-14rep
シーテッドロー,47,7,15回目。ラスト1回！,3set-15rep
机を上にする,1,60,机を上にする。,机を上にする
歯を磨く,1,60,歯を磨くよゴシゴシゴシ。,歯を磨く
着替える,1,60,チャキチャキ着替えて！,着替える
